Index           Word Count
  870          tried     1
  871         troops     1
  872          trust     4
  873            try     1
  874        twelfth     1
  875         twenty     1
  876            two    16
  877      twothirds     1
  878      unanimous     1
  879          under    15
  880        uniform     3
  881          union     6
  882         united    55
  883         unless     7
  884          until     3
  885             up     3
  886           upon     1
  887            use     2
  888         useful     1
  889      vacancies     5
  890        vacated     1
  891          valid     2
  892          value     1
  893        vessels     1
  894           vest     1
  895         vested     4
  896           vice     6
  897  vicepresident     2
  898       violence     1
  899       virginia     3
  900           vote     5
  901          voted     1
  902          votes     9
  903         voting     1
  904            war     4
  905            was     1
  906     washington     1
  907          water     1
  908             we     2
  909        weights     1
  910        welfare     2
  911           well     1
  912           what     2
  913       whatever     1
  914     whatsoever     1
  915           when    11
  916       whenever     1
  917          where     1
  918        whereof     2
  919          which    34
  920            who     9
  921          whole     3
  922           whom     2
  923          whose     1
  924            wil     1
  925           will     3
  926        william     2
  927     williamson     1
  928         wilson     1
  929           with    15
  930         within     8
  931        without     7
  932        witness     1
  933      witnesses     1
  934             wm     3
  935           work     1
  936           writ     1
  937        writing     1
  938       writings     1
  939          writs     1
  940           year     9
  941          years    12
  942           yeas     2
  943           york     2
